***All slide window sequence number prediction probability***
Number	annotation	Promoter	Promoter probability
454	CRE18453 upstream (2000bp),site:453-753	No	0.0964572
455	CRE18453 upstream (2000bp),site:454-754	No	0.182247
456	CRE18453 upstream (2000bp),site:455-755	No	0.393344
457	CRE18453 upstream (2000bp),site:456-756	No	0.147952
458	CRE18453 upstream (2000bp),site:457-757	No	0.313484
459	CRE18453 upstream (2000bp),site:458-758	No	0.0473415
460	CRE18453 upstream (2000bp),site:459-759	No	0.0444415
461	CRE18453 upstream (2000bp),site:460-760	No	0.0441632
462	CRE18453 upstream (2000bp),site:461-761	No	0.0273477
463	CRE18453 upstream (2000bp),site:462-762	No	0.0143884
464	CRE18453 upstream (2000bp),site:463-763	No	6.57351e-006
465	CRE18453 upstream (2000bp),site:464-764	No	0.0381723
466	CRE18453 upstream (2000bp),site:465-765	No	0.00736038
467	CRE18453 upstream (2000bp),site:466-766	No	0.0882307
468	CRE18453 upstream (2000bp),site:467-767	No	0.0536548
469	CRE18453 upstream (2000bp),site:468-768	No	0.00780853
470	CRE18453 upstream (2000bp),site:469-769	No	0.0755862
471	CRE18453 upstream (2000bp),site:470-770	No	0.0398984
472	CRE18453 upstream (2000bp),site:471-771	No	0.0149043
473	CRE18453 upstream (2000bp),site:472-772	No	0.00803913
474	CRE18453 upstream (2000bp),site:473-773	No	0.0169355
475	CRE18453 upstream (2000bp),site:474-774	No	0.0856339
476	CRE18453 upstream (2000bp),site:475-775	No	0.00894476
477	CRE18453 upstream (2000bp),site:476-776	No	0.0814216
478	CRE18453 upstream (2000bp),site:477-777	No	0.0183109
479	CRE18453 upstream (2000bp),site:478-778	No	0.0196408
480	CRE18453 upstream (2000bp),site:479-779	No	0.0333443
481	CRE18453 upstream (2000bp),site:480-780	No	0.0110673
482	CRE18453 upstream (2000bp),site:481-781	No	0.0517205
483	CRE18453 upstream (2000bp),site:482-782	No	0.00502923
484	CRE18453 upstream (2000bp),site:483-783	No	0.00683902
485	CRE18453 upstream (2000bp),site:484-784	No	0.0276742
486	CRE18453 upstream (2000bp),site:485-785	No	0.0159337
487	CRE18453 upstream (2000bp),site:486-786	No	0.0131145
488	CRE18453 upstream (2000bp),site:487-787	No	0.00836381
489	CRE18453 upstream (2000bp),site:488-788	No	0.0402281
490	CRE18453 upstream (2000bp),site:489-789	No	0.265269
491	CRE18453 upstream (2000bp),site:490-790	No	0.0699565
492	CRE18453 upstream (2000bp),site:491-791	No	0.0206324
493	CRE18453 upstream (2000bp),site:492-792	No	0.0529025
494	CRE18453 upstream (2000bp),site:493-793	No	0.239759
495	CRE18453 upstream (2000bp),site:494-794	No	0.0975944
496	CRE18453 upstream (2000bp),site:495-795	No	0.0605418
497	CRE18453 upstream (2000bp),site:496-796	No	0.0369397
498	CRE18453 upstream (2000bp),site:497-797	No	0.283521
499	CRE18453 upstream (2000bp),site:498-798	No	0.0781471
500	CRE18453 upstream (2000bp),site:499-799	No	0.00659053
501	CRE18453 upstream (2000bp),site:500-800	No	0.150846
502	CRE18453 upstream (2000bp),site:501-801	No	0.0754558
503	CRE18453 upstream (2000bp),site:502-802	No	0.0149704
504	CRE18453 upstream (2000bp),site:503-803	No	0.101875
505	CRE18453 upstream (2000bp),site:504-804	No	0.224995
506	CRE18453 upstream (2000bp),site:505-805	No	0.176462
507	CRE18453 upstream (2000bp),site:506-806	No	0.492772
508	CRE18453 upstream (2000bp),site:507-807	No	0.0106494
509	CRE18453 upstream (2000bp),site:508-808	No	0.0273731
510	CRE18453 upstream (2000bp),site:509-809	No	0.161372
511	CRE18453 upstream (2000bp),site:510-810	No	0.0318348
512	CRE18453 upstream (2000bp),site:511-811	No	0.0930415
513	CRE18453 upstream (2000bp),site:512-812	No	0.015417
514	CRE18453 upstream (2000bp),site:513-813	No	0.0609917
515	CRE18453 upstream (2000bp),site:514-814	No	0.144855
516	CRE18453 upstream (2000bp),site:515-815	No	0.172555
517	CRE18453 upstream (2000bp),site:516-816	Yes	0.829445
518	CRE18453 upstream (2000bp),site:517-817	No	0.222561
519	CRE18453 upstream (2000bp),site:518-818	No	0.137672
520	CRE18453 upstream (2000bp),site:519-819	No	0.0255941
521	CRE18453 upstream (2000bp),site:520-820	No	0.0120268
522	CRE18453 upstream (2000bp),site:521-821	No	0.0992345
523	CRE18453 upstream (2000bp),site:522-822	No	0.408895
524	CRE18453 upstream (2000bp),site:523-823	Yes	0.691159
525	CRE18453 upstream (2000bp),site:524-824	Yes	0.670086
526	CRE18453 upstream (2000bp),site:525-825	No	0.203054
527	CRE18453 upstream (2000bp),site:526-826	No	0.0182182
528	CRE18453 upstream (2000bp),site:527-827	No	0.0392524
529	CRE18453 upstream (2000bp),site:528-828	No	0.0110688
530	CRE18453 upstream (2000bp),site:529-829	No	0.107197
531	CRE18453 upstream (2000bp),site:530-830	No	0.0404999
532	CRE18453 upstream (2000bp),site:531-831	No	0.130482
533	CRE18453 upstream (2000bp),site:532-832	No	0.236648
534	CRE18453 upstream (2000bp),site:533-833	No	0.231509
535	CRE18453 upstream (2000bp),site:534-834	No	0.403428
536	CRE18453 upstream (2000bp),site:535-835	No	0.14112
537	CRE18453 upstream (2000bp),site:536-836	No	0.209321
538	CRE18453 upstream (2000bp),site:537-837	No	0.0859547
539	CRE18453 upstream (2000bp),site:538-838	No	0.160287
540	CRE18453 upstream (2000bp),site:539-839	No	0.181846
541	CRE18453 upstream (2000bp),site:540-840	No	0.195233
542	CRE18453 upstream (2000bp),site:541-841	No	0.0568359
543	CRE18453 upstream (2000bp),site:542-842	No	0.17112
544	CRE18453 upstream (2000bp),site:543-843	No	0.489423
545	CRE18453 upstream (2000bp),site:544-844	No	0.0972425
546	CRE18453 upstream (2000bp),site:545-845	No	0.0197081
547	CRE18453 upstream (2000bp),site:546-846	No	0.0295926
548	CRE18453 upstream (2000bp),site:547-847	No	0.439688
549	CRE18453 upstream (2000bp),site:548-848	No	0.0460973
550	CRE18453 upstream (2000bp),site:549-849	No	0.043371
551	CRE18453 upstream (2000bp),site:550-850	No	0.0276858
552	CRE18453 upstream (2000bp),site:551-851	No	0.035805
553	CRE18453 upstream (2000bp),site:552-852	No	0.269678
554	CRE18453 upstream (2000bp),site:553-853	Yes	0.792545
555	CRE18453 upstream (2000bp),site:554-854	No	0.0301293
556	CRE18453 upstream (2000bp),site:555-855	No	0.139392
557	CRE18453 upstream (2000bp),site:556-856	Yes	0.653346
558	CRE18453 upstream (2000bp),site:557-857	No	0.0506021
559	CRE18453 upstream (2000bp),site:558-858	No	0.16463
560	CRE18453 upstream (2000bp),site:559-859	No	0.173312
561	CRE18453 upstream (2000bp),site:560-860	No	0.0685082
562	CRE18453 upstream (2000bp),site:561-861	No	0.319607
563	CRE18453 upstream (2000bp),site:562-862	No	0.288138
564	CRE18453 upstream (2000bp),site:563-863	Yes	0.704237
565	CRE18453 upstream (2000bp),site:564-864	Yes	0.658593
566	CRE18453 upstream (2000bp),site:565-865	No	0.0957078
567	CRE18453 upstream (2000bp),site:566-866	No	0.0400665
568	CRE18453 upstream (2000bp),site:567-867	Yes	0.515038
569	CRE18453 upstream (2000bp),site:568-868	No	0.0821587
570	CRE18453 upstream (2000bp),site:569-869	No	0.104835
571	CRE18453 upstream (2000bp),site:570-870	No	0.0103261
572	CRE18453 upstream (2000bp),site:571-871	No	0.216857
573	CRE18453 upstream (2000bp),site:572-872	No	0.150623
574	CRE18453 upstream (2000bp),site:573-873	No	0.0621417
575	CRE18453 upstream (2000bp),site:574-874	No	0.458992
576	CRE18453 upstream (2000bp),site:575-875	Yes	0.650464
577	CRE18453 upstream (2000bp),site:576-876	Yes	0.578078
578	CRE18453 upstream (2000bp),site:577-877	No	0.0855611
579	CRE18453 upstream (2000bp),site:578-878	Yes	0.968609
580	CRE18453 upstream (2000bp),site:579-879	No	0.321684
581	CRE18453 upstream (2000bp),site:580-880	No	0.215097
582	CRE18453 upstream (2000bp),site:581-881	No	0.31254
583	CRE18453 upstream (2000bp),site:582-882	No	0.341618
584	CRE18453 upstream (2000bp),site:583-883	No	0.324115
585	CRE18453 upstream (2000bp),site:584-884	No	0.479793
586	CRE18453 upstream (2000bp),site:585-885	No	0.0792309
587	CRE18453 upstream (2000bp),site:586-886	No	0.0213556
588	CRE18453 upstream (2000bp),site:587-887	No	0.0385308
589	CRE18453 upstream (2000bp),site:588-888	No	0.0636072
590	CRE18453 upstream (2000bp),site:589-889	No	0.0245157
591	CRE18453 upstream (2000bp),site:590-890	Yes	0.515879
592	CRE18453 upstream (2000bp),site:591-891	No	0.24375
593	CRE18453 upstream (2000bp),site:592-892	Yes	0.93991
594	CRE18453 upstream (2000bp),site:593-893	Yes	0.5
595	CRE18453 upstream (2000bp),site:594-894	No	0.422771
596	CRE18453 upstream (2000bp),site:595-895	Yes	0.813105
597	CRE18453 upstream (2000bp),site:596-896	No	0.056302
598	CRE18453 upstream (2000bp),site:597-897	Yes	0.613453
599	CRE18453 upstream (2000bp),site:598-898	Yes	0.533526
600	CRE18453 upstream (2000bp),site:599-899	Yes	0.564311
601	CRE18453 upstream (2000bp),site:600-900	No	0.232584
602	CRE18453 upstream (2000bp),site:601-901	No	0.11986
603	CRE18453 upstream (2000bp),site:602-902	No	0.0964316
604	CRE18453 upstream (2000bp),site:603-903	No	0.0425568
605	CRE18453 upstream (2000bp),site:604-904	No	0.24633
606	CRE18453 upstream (2000bp),site:605-905	No	0.0224083
607	CRE18453 upstream (2000bp),site:606-906	No	0.225589
608	CRE18453 upstream (2000bp),site:607-907	No	0.0149408
609	CRE18453 upstream (2000bp),site:608-908	No	0.034439
610	CRE18453 upstream (2000bp),site:609-909	No	0.0345462
611	CRE18453 upstream (2000bp),site:610-910	No	0.055417
612	CRE18453 upstream (2000bp),site:611-911	No	0.220472
613	CRE18453 upstream (2000bp),site:612-912	No	0.213259
614	CRE18453 upstream (2000bp),site:613-913	Yes	0.909373
615	CRE18453 upstream (2000bp),site:614-914	No	0.145057
616	CRE18453 upstream (2000bp),site:615-915	Yes	0.558903
617	CRE18453 upstream (2000bp),site:616-916	No	0.306796
618	CRE18453 upstream (2000bp),site:617-917	No	0.016201
619	CRE18453 upstream (2000bp),site:618-918	No	0.0201507
620	CRE18453 upstream (2000bp),site:619-919	No	0.00515274
621	CRE18453 upstream (2000bp),site:620-920	No	0.0315387
622	CRE18453 upstream (2000bp),site:621-921	No	0.35218
623	CRE18453 upstream (2000bp),site:622-922	No	0.0908465
624	CRE18453 upstream (2000bp),site:623-923	No	0.310778
625	CRE18453 upstream (2000bp),site:624-924	Yes	0.885765
626	CRE18453 upstream (2000bp),site:625-925	No	0.269663
627	CRE18453 upstream (2000bp),site:626-926	No	0.190511
628	CRE18453 upstream (2000bp),site:627-927	No	0.0397763
629	CRE18453 upstream (2000bp),site:628-928	No	0.0774293
630	CRE18453 upstream (2000bp),site:629-929	No	0.365562
631	CRE18453 upstream (2000bp),site:630-930	No	0.313087
632	CRE18453 upstream (2000bp),site:631-931	No	0.0158047
633	CRE18453 upstream (2000bp),site:632-932	No	0.0830752
634	CRE18453 upstream (2000bp),site:633-933	No	0.00273564
635	CRE18453 upstream (2000bp),site:634-934	No	0.0144485
636	CRE18453 upstream (2000bp),site:635-935	No	0.0132011
637	CRE18453 upstream (2000bp),site:636-936	No	0.0148072
638	CRE18453 upstream (2000bp),site:637-937	No	0.0706812
639	CRE18453 upstream (2000bp),site:638-938	No	0.283354
640	CRE18453 upstream (2000bp),site:639-939	No	0.270446
641	CRE18453 upstream (2000bp),site:640-940	No	0.0607827
642	CRE18453 upstream (2000bp),site:641-941	No	0.0140135
643	CRE18453 upstream (2000bp),site:642-942	No	0.295968
644	CRE18453 upstream (2000bp),site:643-943	Yes	0.762688
645	CRE18453 upstream (2000bp),site:644-944	No	0.177601
646	CRE18453 upstream (2000bp),site:645-945	No	0.0312051
647	CRE18453 upstream (2000bp),site:646-946	No	0.138924
648	CRE18453 upstream (2000bp),site:647-947	No	0.0251804
649	CRE18453 upstream (2000bp),site:648-948	No	0.0322185
650	CRE18453 upstream (2000bp),site:649-949	Yes	0.785382
651	CRE18453 upstream (2000bp),site:650-950	Yes	0.637665
652	CRE18453 upstream (2000bp),site:651-951	No	0.487653
653	CRE18453 upstream (2000bp),site:652-952	No	0.247113
654	CRE18453 upstream (2000bp),site:653-953	No	0.279137
655	CRE18453 upstream (2000bp),site:654-954	No	0.0231171
656	CRE18453 upstream (2000bp),site:655-955	No	0.0121068
657	CRE18453 upstream (2000bp),site:656-956	No	0.0416483
658	CRE18453 upstream (2000bp),site:657-957	No	0.00488115
659	CRE18453 upstream (2000bp),site:658-958	No	0.0141424
660	CRE18453 upstream (2000bp),site:659-959	No	0.0110973
661	CRE18453 upstream (2000bp),site:660-960	No	0.00954162
662	CRE18453 upstream (2000bp),site:661-961	No	0.0819817
663	CRE18453 upstream (2000bp),site:662-962	No	0.100124
664	CRE18453 upstream (2000bp),site:663-963	No	0.19725
665	CRE18453 upstream (2000bp),site:664-964	Yes	0.703879
666	CRE18453 upstream (2000bp),site:665-965	No	0.0607795
667	CRE18453 upstream (2000bp),site:666-966	No	0.0383415
668	CRE18453 upstream (2000bp),site:667-967	No	0.0530535
669	CRE18453 upstream (2000bp),site:668-968	No	0.442346
670	CRE18453 upstream (2000bp),site:669-969	No	0.116452
671	CRE18453 upstream (2000bp),site:670-970	No	0.409523
672	CRE18453 upstream (2000bp),site:671-971	No	0.25122
673	CRE18453 upstream (2000bp),site:672-972	No	0.00760443
674	CRE18453 upstream (2000bp),site:673-973	No	0.0216296
675	CRE18453 upstream (2000bp),site:674-974	No	0.0310482
676	CRE18453 upstream (2000bp),site:675-975	No	0.0122607
677	CRE18453 upstream (2000bp),site:676-976	No	0.0549432
678	CRE18453 upstream (2000bp),site:677-977	No	0.0375785
679	CRE18453 upstream (2000bp),site:678-978	No	0.00712596
680	CRE18453 upstream (2000bp),site:679-979	No	0.387848
681	CRE18453 upstream (2000bp),site:680-980	Yes	0.897459
682	CRE18453 upstream (2000bp),site:681-981	Yes	0.856781
683	CRE18453 upstream (2000bp),site:682-982	No	0.104797
684	CRE18453 upstream (2000bp),site:683-983	No	0.1686
685	CRE18453 upstream (2000bp),site:684-984	No	0.00468913
686	CRE18453 upstream (2000bp),site:685-985	No	0.112822
687	CRE18453 upstream (2000bp),site:686-986	No	0.418003
688	CRE18453 upstream (2000bp),site:687-987	Yes	0.917589
689	CRE18453 upstream (2000bp),site:688-988	Yes	0.939847
690	CRE18453 upstream (2000bp),site:689-989	Yes	0.551401
691	CRE18453 upstream (2000bp),site:690-990	Yes	0.837436
692	CRE18453 upstream (2000bp),site:691-991	No	0.257893
693	CRE18453 upstream (2000bp),site:692-992	No	0.0527578
694	CRE18453 upstream (2000bp),site:693-993	No	0.0320161
695	CRE18453 upstream (2000bp),site:694-994	No	0.0101408
696	CRE18453 upstream (2000bp),site:695-995	No	0.00476365
697	CRE18453 upstream (2000bp),site:696-996	No	0.042031
698	CRE18453 upstream (2000bp),site:697-997	No	0.0937655
699	CRE18453 upstream (2000bp),site:698-998	No	0.355416
700	CRE18453 upstream (2000bp),site:699-999	Yes	0.63944
701	CRE18453 upstream (2000bp),site:700-1000	Yes	0.814859
702	CRE18453 upstream (2000bp),site:701-1001	Yes	0.690768
703	CRE18453 upstream (2000bp),site:702-1002	Yes	0.559483
704	CRE18453 upstream (2000bp),site:703-1003	No	0.00906569
705	CRE18453 upstream (2000bp),site:704-1004	No	0.132724
706	CRE18453 upstream (2000bp),site:705-1005	No	0.187879
707	CRE18453 upstream (2000bp),site:706-1006	No	0.0656144
708	CRE18453 upstream (2000bp),site:707-1007	No	0.00790986
709	CRE18453 upstream (2000bp),site:708-1008	No	0.0143638
710	CRE18453 upstream (2000bp),site:709-1009	No	9.32966e-006
711	CRE18453 upstream (2000bp),site:710-1010	No	0.0571124
712	CRE18453 upstream (2000bp),site:711-1011	No	0.00889399
713	CRE18453 upstream (2000bp),site:712-1012	No	0.0389796
714	CRE18453 upstream (2000bp),site:713-1013	No	1.83169e-005
715	CRE18453 upstream (2000bp),site:714-1014	No	0.00426956
716	CRE18453 upstream (2000bp),site:715-1015	No	0.0384186
717	CRE18453 upstream (2000bp),site:716-1016	No	0.00304572
718	CRE18453 upstream (2000bp),site:717-1017	No	0.0236317
719	CRE18453 upstream (2000bp),site:718-1018	No	0.0252572
720	CRE18453 upstream (2000bp),site:719-1019	No	0.00753727
721	CRE18453 upstream (2000bp),site:720-1020	No	7.84221e-006
722	CRE18453 upstream (2000bp),site:721-1021	No	0.0636335
723	CRE18453 upstream (2000bp),site:722-1022	No	0.0103678
724	CRE18453 upstream (2000bp),site:723-1023	No	0.0158433
725	CRE18453 upstream (2000bp),site:724-1024	No	4.48804e-006
726	CRE18453 upstream (2000bp),site:725-1025	No	0.00591718
727	CRE18453 upstream (2000bp),site:726-1026	No	0.0110277
728	CRE18453 upstream (2000bp),site:727-1027	No	0.00457978
729	CRE18453 upstream (2000bp),site:728-1028	No	0.0073236
730	CRE18453 upstream (2000bp),site:729-1029	No	0.0152878
731	CRE18453 upstream (2000bp),site:730-1030	No	0.0514438
732	CRE18453 upstream (2000bp),site:731-1031	No	0.0322773
733	CRE18453 upstream (2000bp),site:732-1032	No	0.0380333
734	CRE18453 upstream (2000bp),site:733-1033	No	0.101166
735	CRE18453 upstream (2000bp),site:734-1034	No	0.0119508
736	CRE18453 upstream (2000bp),site:735-1035	Yes	0.654563
737	CRE18453 upstream (2000bp),site:736-1036	No	0.0404197
738	CRE18453 upstream (2000bp),site:737-1037	No	0.00481775
739	CRE18453 upstream (2000bp),site:738-1038	No	2.83627e-006
740	CRE18453 upstream (2000bp),site:739-1039	No	0.00495409
741	CRE18453 upstream (2000bp),site:740-1040	No	0.00396007
742	CRE18453 upstream (2000bp),site:741-1041	No	0.00488359
743	CRE18453 upstream (2000bp),site:742-1042	No	0.00713195
744	CRE18453 upstream (2000bp),site:743-1043	No	0.00589276
745	CRE18453 upstream (2000bp),site:744-1044	No	0.00528598
746	CRE18453 upstream (2000bp),site:745-1045	No	0.032544
747	CRE18453 upstream (2000bp),site:746-1046	No	0.00547876
748	CRE18453 upstream (2000bp),site:747-1047	No	0.0103374
749	CRE18453 upstream (2000bp),site:748-1048	No	0.00438279
750	CRE18453 upstream (2000bp),site:749-1049	No	0.00400604
751	CRE18453 upstream (2000bp),site:750-1050	No	0.0473854
752	CRE18453 upstream (2000bp),site:751-1051	No	0.0415629
753	CRE18453 upstream (2000bp),site:752-1052	No	0.0351914
754	CRE18453 upstream (2000bp),site:753-1053	No	0.245106
755	CRE18453 upstream (2000bp),site:754-1054	No	0.0973099
756	CRE18453 upstream (2000bp),site:755-1055	No	0.0236617
757	CRE18453 upstream (2000bp),site:756-1056	No	0.0285009
758	CRE18453 upstream (2000bp),site:757-1057	No	0.00864756
759	CRE18453 upstream (2000bp),site:758-1058	No	0.0823654
760	CRE18453 upstream (2000bp),site:759-1059	No	0.0260923
761	CRE18453 upstream (2000bp),site:760-1060	No	0.0178034
762	CRE18453 upstream (2000bp),site:761-1061	No	0.00671667
763	CRE18453 upstream (2000bp),site:762-1062	No	2.48556e-006
764	CRE18453 upstream (2000bp),site:763-1063	No	0.00558616
765	CRE18453 upstream (2000bp),site:764-1064	No	0.00978983
766	CRE18453 upstream (2000bp),site:765-1065	No	0.0242904
767	CRE18453 upstream (2000bp),site:766-1066	No	0.00371199
768	CRE18453 upstream (2000bp),site:767-1067	No	0.00399293
769	CRE18453 upstream (2000bp),site:768-1068	No	0.0188608
770	CRE18453 upstream (2000bp),site:769-1069	No	0.00957288
771	CRE18453 upstream (2000bp),site:770-1070	No	0.0356213
772	CRE18453 upstream (2000bp),site:771-1071	No	0.00482823
773	CRE18453 upstream (2000bp),site:772-1072	No	0.337853
774	CRE18453 upstream (2000bp),site:773-1073	Yes	0.714687
775	CRE18453 upstream (2000bp),site:774-1074	Yes	0.722091
776	CRE18453 upstream (2000bp),site:775-1075	No	0.0747213
777	CRE18453 upstream (2000bp),site:776-1076	No	1.44251e-006
778	CRE18453 upstream (2000bp),site:777-1077	No	0.0416001
779	CRE18453 upstream (2000bp),site:778-1078	No	0.0747842
780	CRE18453 upstream (2000bp),site:779-1079	Yes	0.770277
781	CRE18453 upstream (2000bp),site:780-1080	Yes	0.863519
782	CRE18453 upstream (2000bp),site:781-1081	No	0.298409
783	CRE18453 upstream (2000bp),site:782-1082	No	0.163042
784	CRE18453 upstream (2000bp),site:783-1083	No	0.492618
785	CRE18453 upstream (2000bp),site:784-1084	No	0.192872
786	CRE18453 upstream (2000bp),site:785-1085	No	0.143801
787	CRE18453 upstream (2000bp),site:786-1086	No	3.30568e-006
788	CRE18453 upstream (2000bp),site:787-1087	No	0.012017
789	CRE18453 upstream (2000bp),site:788-1088	No	0.155184
790	CRE18453 upstream (2000bp),site:789-1089	No	0.0218919
791	CRE18453 upstream (2000bp),site:790-1090	No	0.00765891
792	CRE18453 upstream (2000bp),site:791-1091	No	0.0377121
793	CRE18453 upstream (2000bp),site:792-1092	No	0.152125
794	CRE18453 upstream (2000bp),site:793-1093	No	0.221143
795	CRE18453 upstream (2000bp),site:794-1094	No	0.00474376
796	CRE18453 upstream (2000bp),site:795-1095	No	0.0231291
797	CRE18453 upstream (2000bp),site:796-1096	No	0.0858956
798	CRE18453 upstream (2000bp),site:797-1097	No	1.66044e-005
799	CRE18453 upstream (2000bp),site:798-1098	No	0.0383144
800	CRE18453 upstream (2000bp),site:799-1099	No	0.00900177
801	CRE18453 upstream (2000bp),site:800-1100	No	0.00546509
802	CRE18453 upstream (2000bp),site:801-1101	No	0.0102052
803	CRE18453 upstream (2000bp),site:802-1102	No	0.0893837
804	CRE18453 upstream (2000bp),site:803-1103	No	0.00293163
805	CRE18453 upstream (2000bp),site:804-1104	No	0.00686245
806	CRE18453 upstream (2000bp),site:805-1105	No	0.00892226
807	CRE18453 upstream (2000bp),site:806-1106	No	0.0825798
808	CRE18453 upstream (2000bp),site:807-1107	No	0.125295
809	CRE18453 upstream (2000bp),site:808-1108	No	0.0834365
810	CRE18453 upstream (2000bp),site:809-1109	No	0.030114
811	CRE18453 upstream (2000bp),site:810-1110	No	0.0430663
812	CRE18453 upstream (2000bp),site:811-1111	No	0.00939808
813	CRE18453 upstream (2000bp),site:812-1112	No	0.00996904
814	CRE18453 upstream (2000bp),site:813-1113	No	0.005577
815	CRE18453 upstream (2000bp),site:814-1114	No	0.025008
816	CRE18453 upstream (2000bp),site:815-1115	No	0.0303362
817	CRE18453 upstream (2000bp),site:816-1116	No	0.076469
818	CRE18453 upstream (2000bp),site:817-1117	No	0.00576635
819	CRE18453 upstream (2000bp),site:818-1118	No	0.0038072
820	CRE18453 upstream (2000bp),site:819-1119	No	6.47007e-006
821	CRE18453 upstream (2000bp),site:820-1120	No	0.0080878
822	CRE18453 upstream (2000bp),site:821-1121	No	0.009484
823	CRE18453 upstream (2000bp),site:822-1122	No	0.167707
824	CRE18453 upstream (2000bp),site:823-1123	No	1.17477e-005
825	CRE18453 upstream (2000bp),site:824-1124	No	0.0082713
826	CRE18453 upstream (2000bp),site:825-1125	No	0.0119914
827	CRE18453 upstream (2000bp),site:826-1126	No	0.00509567
828	CRE18453 upstream (2000bp),site:827-1127	No	0.0075115
829	CRE18453 upstream (2000bp),site:828-1128	No	0.0435579
830	CRE18453 upstream (2000bp),site:829-1129	No	0.0100563
831	CRE18453 upstream (2000bp),site:830-1130	No	1.71845e-006
832	CRE18453 upstream (2000bp),site:831-1131	No	0.0113304
833	CRE18453 upstream (2000bp),site:832-1132	No	0.0035729
834	CRE18453 upstream (2000bp),site:833-1133	No	0.0120499
835	CRE18453 upstream (2000bp),site:834-1134	No	0.107118
836	CRE18453 upstream (2000bp),site:835-1135	No	0.0444172
837	CRE18453 upstream (2000bp),site:836-1136	No	0.0799688
838	CRE18453 upstream (2000bp),site:837-1137	No	0.065224
839	CRE18453 upstream (2000bp),site:838-1138	No	0.0212293
840	CRE18453 upstream (2000bp),site:839-1139	No	0.238584
841	CRE18453 upstream (2000bp),site:840-1140	No	0.00838858
842	CRE18453 upstream (2000bp),site:841-1141	Yes	0.582297
843	CRE18453 upstream (2000bp),site:842-1142	No	0.0595384
844	CRE18453 upstream (2000bp),site:843-1143	No	0.0901974
845	CRE18453 upstream (2000bp),site:844-1144	No	0.0596333
846	CRE18453 upstream (2000bp),site:845-1145	No	0.128949
847	CRE18453 upstream (2000bp),site:846-1146	No	0.0253962
848	CRE18453 upstream (2000bp),site:847-1147	No	0.0128489
849	CRE18453 upstream (2000bp),site:848-1148	No	0.0197266
850	CRE18453 upstream (2000bp),site:849-1149	No	0.042992
851	CRE18453 upstream (2000bp),site:850-1150	No	0.137475
852	CRE18453 upstream (2000bp),site:851-1151	No	0.0615503
853	CRE18453 upstream (2000bp),site:852-1152	No	0.41866
854	CRE18453 upstream (2000bp),site:853-1153	Yes	0.872677
855	CRE18453 upstream (2000bp),site:854-1154	No	0.0156927
856	CRE18453 upstream (2000bp),site:855-1155	No	0.169286
857	CRE18453 upstream (2000bp),site:856-1156	No	0.262922
858	CRE18453 upstream (2000bp),site:857-1157	No	0.0711
859	CRE18453 upstream (2000bp),site:858-1158	No	0.181777
860	CRE18453 upstream (2000bp),site:859-1159	No	0.143079
861	CRE18453 upstream (2000bp),site:860-1160	No	0.0142198
862	CRE18453 upstream (2000bp),site:861-1161	No	0.0205419
863	CRE18453 upstream (2000bp),site:862-1162	No	0.00735825
864	CRE18453 upstream (2000bp),site:863-1163	No	0.0159474
865	CRE18453 upstream (2000bp),site:864-1164	No	0.00623951
866	CRE18453 upstream (2000bp),site:865-1165	No	0.00435333
867	CRE18453 upstream (2000bp),site:866-1166	No	0.00655456
868	CRE18453 upstream (2000bp),site:867-1167	No	0.00337702
869	CRE18453 upstream (2000bp),site:868-1168	No	0.00400851
870	CRE18453 upstream (2000bp),site:869-1169	No	0.0351107
871	CRE18453 upstream (2000bp),site:870-1170	No	0.336551
872	CRE18453 upstream (2000bp),site:871-1171	No	0.207501
873	CRE18453 upstream (2000bp),site:872-1172	No	0.0147102
874	CRE18453 upstream (2000bp),site:873-1173	Yes	0.567164
875	CRE18453 upstream (2000bp),site:874-1174	No	0.327585
876	CRE18453 upstream (2000bp),site:875-1175	No	0.315211
877	CRE18453 upstream (2000bp),site:876-1176	No	0.0149025
878	CRE18453 upstream (2000bp),site:877-1177	No	0.00414957
879	CRE18453 upstream (2000bp),site:878-1178	No	3.81226e-007
880	CRE18453 upstream (2000bp),site:879-1179	No	0.00788083
881	CRE18453 upstream (2000bp),site:880-1180	No	0.0221989
882	CRE18453 upstream (2000bp),site:881-1181	No	0.0465643
883	CRE18453 upstream (2000bp),site:882-1182	No	0.00332156
884	CRE18453 upstream (2000bp),site:883-1183	No	0.00413996
885	CRE18453 upstream (2000bp),site:884-1184	No	0.0550377
886	CRE18453 upstream (2000bp),site:885-1185	No	0.0321308
887	CRE18453 upstream (2000bp),site:886-1186	No	0.00506363
888	CRE18453 upstream (2000bp),site:887-1187	No	0.0100363
889	CRE18453 upstream (2000bp),site:888-1188	No	0.14901
890	CRE18453 upstream (2000bp),site:889-1189	No	0.0049734
891	CRE18453 upstream (2000bp),site:890-1190	No	0.0392523
892	CRE18453 upstream (2000bp),site:891-1191	No	0.0115463
893	CRE18453 upstream (2000bp),site:892-1192	No	0.00695618
894	CRE18453 upstream (2000bp),site:893-1193	No	0.0131057
895	CRE18453 upstream (2000bp),site:894-1194	No	0.0438227
896	CRE18453 upstream (2000bp),site:895-1195	No	0.0211229
897	CRE18453 upstream (2000bp),site:896-1196	No	0.00562836
898	CRE18453 upstream (2000bp),site:897-1197	No	0.039085
899	CRE18453 upstream (2000bp),site:898-1198	No	0.0840571
